company_name,academicians students engineering colleges,agencies dealing in instrumentation,design engineer consultant,engineer operator looking for new technology,investor banker venture capitalist,purchase personnel from boiler-user industry,regulatory authority  policy maker urban planning specialist utility & energy company,renewable energy project developer
ASMI ENGINEERING,0.0,0.0,0.0,0.0,0.0,0.25568652153015137,0.0,0.0
Agsons Engineers LLP,0.0,0.0,0.0,0.0,0.0,0.35325393080711365,0.0,0.0
Airseal Technology LLP,0.0,0.0,0.27946940064430237,0.0,0.0,0.0,0.0,0.0
Alfa Boilers Private Limited,0.2085551619529724,0.0,0.0,0.38693827390670776,0.0,0.4195665546825954,0.0,0.0
Alfa Boilers Pvt Ltd,0.2085551619529724,0.0,0.0,0.38693827390670776,0.0,0.0,0.41615962982177734,0.0
Alfa Boilers Pvt Ltd ,0.0,0.0,0.30245542526245117,0.38693827390670776,0.0,0.5643056035041809,0.41615962982177734,0.0
Alfa Boilers Pvt Ltd.,0.0,0.0,0.0,0.38693827390670776,0.0,0.5643056035041809,0.0,0.0
Alfa Boilers Pvt. Ltd.,0.0,0.28041947739464895,0.0,0.3567368175302233,0.0,0.4738548866340092,0.0,0.0
Anderson Greenwood Crosby Sanmar Limited,0.0,0.0,0.0,0.4435601830482483,0.0,0.0,0.0,0.0
Arohill agrotech private limited ,0.0,0.0,0.0,0.0,0.0,0.24456726014614105,0.0,0.0
Arrowcon Energy Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.24515332281589508,0.0,0.0
BNK Power Solution Pvt Ltd ,0.0,0.0,0.0,0.0,0.0,0.25568652153015137,0.0,0.0
Batliboi Environmental Engineering Ltd,0.0,0.0,0.0,0.4435601830482483,0.0,0.0,0.0,0.0
Cold Weld Engineers Pvt. Ltd,0.0,0.0,0.0,0.316468209028244,0.0,0.0,0.0,0.0
Decent Cargo Movers Pvt. Ltd,0.0,0.0,0.2811201512813568,0.0,0.0,0.0,0.0,0.0
Dugar Tubes Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.24456726014614105,0.0,0.0
Euromax international,0.0,0.0,0.0,0.17087934911251068,0.0,0.0,0.0,0.0
Fainger Engineering,0.0,0.0,0.3339790999889374,0.4435601830482483,0.0,0.0,0.0,0.0
Ferring Pharma,0.0,0.0,0.0,0.0,0.16220904886722565,0.0,0.0,0.0
Forbes Marshall,0.2085551619529724,0.0,0.30245542526245117,0.38693827390670776,0.0,0.5009822696447372,0.0,0.0
GNVS,0.2085551619529724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IndiaMART Intermesh Ltd.,0.0,0.0,0.27946940064430237,0.0,0.0,0.0,0.0,0.0
Instrumxx Industries,0.0,0.0,0.0,0.4435601830482483,0.0,0.0,0.0,0.0
Jindal Saw Ltd,0.10743917524814606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSB Limited,0.0,0.0,0.3339790999889374,0.0,0.0,0.3083929717540741,0.0,0.0
Kaeser Compressors,0.0,0.0,0.0,0.0,0.0,0.24456726014614105,0.0,0.0
LLOYDS STEELS INDUSTRIES LTD,0.0,0.0,0.0,0.0,0.0,0.5730417370796204,0.0,0.0
MAHAVEER IMPEX ,0.0,0.22777841985225677,0.0,0.0,0.0,0.0,0.0,0.0
MECHANICAL ASSEMBLY SYSTEMS (I) PVT LTD,0.0,0.0,0.0,0.372191846370697,0.0,0.0,0.0,0.0
MERU INDUSTRIES LLP,0.0,0.0,0.0,0.0,0.0,0.5643056035041809,0.0,0.0
MOTILAL LAXMICHAND SANGHAVI,0.0,0.0,0.0,0.0,0.0,0.3439367711544037,0.0,0.0
Micon Valve India Pvt Ltd. ,0.0,0.0,0.0,0.4435601830482483,0.0,0.0,0.0,0.0
Moglix,0.0,0.2938990592956543,0.0,0.38693827390670776,0.0,0.5643056035041809,0.0,0.254536509513855
Neotiss Private Limited,0.0,0.0,0.0,0.0,0.0,0.35325393080711365,0.0,0.0
Om Greentech Industries ,0.0,0.0,0.0,0.372191846370697,0.0,0.0,0.0,0.0
Parmar Techno Forge,0.0,0.0,0.0,0.4435601830482483,0.0,0.0,0.0,0.0
Purexia Fittings And Engineering Co,0.0,0.0,0.0,0.0,0.0,0.3257223069667816,0.0,0.0
Purva Engineers & Contractors,0.0,0.0,0.0,0.0,0.0,0.24456726014614105,0.0,0.0
RCF ,0.0,0.0,0.0,0.372191846370697,0.0,0.0,0.0,0.0
RCF ltd,0.0,0.0,0.0,0.38693827390670776,0.0,0.0,0.0,0.0
Radiant Heat Exchanger Pvt. Ltd.,0.0,0.0,0.0,0.316468209028244,0.0,0.0,0.0,0.0
Rajni Group of Companies ,0.0,0.0,0.0,0.17087934911251068,0.0,0.0,0.0,0.0
Rakhoh Industries Pvt Ltd,0.0,0.0,0.0,0.0,0.0,0.5643056035041809,0.0,0.0
SAGAR MEDICO,0.0,0.0,0.0,0.0,0.0,0.5388466715812683,0.0,0.0
SITSON INDIA PVT LTD,0.0,0.0,0.30245542526245117,0.0,0.0,0.5643056035041809,0.0,0.0
SUBZERO TUBE TOOLS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.38475099205970764,0.0,0.0
Sankalp Engineers,0.0,0.0,0.0,0.316468209028244,0.0,0.0,0.0,0.0
Shree Laxmi Technowell (I) Pvt Ltd,0.0,0.0,0.0,0.38693827390670776,0.0,0.0,0.0,0.0
Shree viratra enterprises ,0.10743917524814606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silson,0.0,0.0,0.30245542526245117,0.0,0.0,0.5643056035041809,0.0,0.0
State Bank of India,0.0,0.0,0.0,0.0,0.15620550513267517,0.0,0.0,0.0
Steelo impex,0.0,0.0,0.0,0.0,0.0,0.35325393080711365,0.0,0.0
Suntec Energy Systems,0.0,0.0,0.27946940064430237,0.0,0.0,0.0,0.0,0.0
Tata steel Ltd,0.0,0.0,0.27126970887184143,0.0,0.0,0.0,0.0,0.0
Tec ceramic Solutions ,0.0,0.0,0.0,0.0,0.0,0.35325393080711365,0.0,0.0
Thermax,0.2085551619529724,0.0,0.30245542526245117,0.38693827390670776,0.0,0.49522560293024237,0.0,0.0
Thermax Limited,0.2085551619529724,0.0,0.30245542526245117,0.38693827390670776,0.0,0.47987449169158936,0.41615962982177734,0.0
Thermax Ltd,0.0,0.0,0.30245542526245117,0.38693827390670776,0.0,0.5253373980522156,0.0,0.0
Thermovision enterprises,0.0,0.0,0.11441519856452942,0.0,0.0,0.0,0.0,0.0
Thyssenkrupp Industries India Ltd,0.0,0.0,0.0,0.38693827390670776,0.0,0.0,0.0,0.0
Thyssenkrupp Industries India Pvt Ltd,0.0,0.0,0.30245542526245117,0.38693827390670776,0.0,0.5643056035041809,0.0,0.0
Turf n Linen,0.0,0.0,0.0,0.0,0.0,0.24456726014614105,0.0,0.0
VALTIAS ENGINEERING SERVICES,0.0,0.0,0.27946940064430237,0.0,0.0,0.0,0.0,0.0
Varun Electrodes Pvt Ltd,0.0,0.0,0.0,0.316468209028244,0.0,0.0,0.0,0.0
Venus petrochemical ,0.0,0.0,0.0,0.0,0.0,0.0,0.18506640195846558,0.0
We Brand Bio,0.0,0.0,0.0,0.0,0.0,0.24456726014614105,0.0,0.0
Yaskawa india pvt ltd,0.0,0.0,0.0,0.372191846370697,0.0,0.0,0.0,0.0
thyssenkrupp Industries India Pvt. Ltd.,0.0,0.0,0.0,0.0,0.0,0.5643056035041809,0.0,0.0
